seed,outcome,success,episode_length,detected,detection_time,intercept_time,enemy_speed,defender_speed,detection_radius,intercept_radius,threat_radius,min_enemy_soldier_dist,min_defender_enemy_dist,num_episodes,model_version,mean_tracking_error,final_tracking_error
595,soldier_caught,0,18,1,15,-1,12.0,18.0,15.0,2.5,2.0,1.638488,3.8508801,1000,unknown,1.5920384526252747,2.5080466270446777
596,intercepted,1,33,1,13,33,12.0,18.0,15.0,2.5,2.0,2.597158,1.0296326,1000,unknown,2.498222282954625,3.1747312545776367
597,intercepted,1,17,1,12,17,12.0,18.0,15.0,2.5,2.0,9.475797,2.4171598,1000,unknown,1.1013676275809605,2.6823718547821045
598,intercepted,1,13,1,11,13,12.0,18.0,15.0,2.5,2.0,6.102755,2.0244958,1000,unknown,1.451769232749939,1.4875285625457764
599,soldier_caught,0,11,1,9,-1,12.0,18.0,15.0,2.5,2.0,1.3482397,4.3374004,1000,unknown,0.7179168164730072,1.15280020236969
600,soldier_caught,0,25,1,20,-1,12.0,18.0,15.0,2.5,2.0,1.9876989,4.040483,1000,unknown,1.5453549126784007,0.8567079305648804
601,soldier_caught,0,16,1,12,-1,12.0,18.0,15.0,2.5,2.0,1.1400193,4.8228893,1000,unknown,1.620172929763794,3.7029004096984863
602,intercepted,1,11,1,10,11,12.0,18.0,15.0,2.5,2.0,6.149848,1.6973304,1000,unknown,0.7748675346374512,0.7797217965126038
603,soldier_caught,0,19,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.5372728,2.5441864,1000,unknown,2.905003675818443,3.0788681507110596
604,intercepted,1,16,1,15,16,12.0,18.0,15.0,2.5,2.0,5.44674,1.1746249,1000,unknown,1.0519295632839203,0.6676742434501648
605,unsafe_intercept,0,22,1,10,-1,12.0,18.0,15.0,2.5,2.0,2.2818418,1.737897,1000,unknown,2.3269117784041624,2.5028445720672607
606,intercepted,1,11,1,9,11,12.0,18.0,15.0,2.5,2.0,6.4282393,1.8516536,1000,unknown,0.9964457154273987,0.6076003909111023
607,soldier_caught,0,16,1,8,-1,12.0,18.0,15.0,2.5,2.0,1.7003813,2.5049682,1000,unknown,1.710630820857154,1.8138513565063477
608,soldier_caught,0,33,1,17,-1,12.0,18.0,15.0,2.5,2.0,0.894485,2.5032713,1000,unknown,2.272138090694652,1.3526400327682495
609,intercepted,1,19,1,18,19,12.0,18.0,15.0,2.5,2.0,10.8040695,1.128014,1000,unknown,1.6029933094978333,1.1037544012069702
610,intercepted,1,9,1,8,9,12.0,18.0,15.0,2.5,2.0,5.0511503,2.0919204,1000,unknown,1.3125341534614563,1.8805822134017944
611,intercepted,1,31,1,12,31,12.0,18.0,15.0,2.5,2.0,2.2444313,1.0290167,1000,unknown,2.884449025988579,4.604074954986572
612,intercepted,1,13,1,9,13,12.0,18.0,15.0,2.5,2.0,4.810351,1.5110426,1000,unknown,1.8187333345413208,3.904623031616211
613,soldier_caught,0,14,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.1731737,4.9294133,1000,unknown,2.0396536350250245,3.4455676078796387
614,intercepted,1,12,1,11,12,12.0,18.0,15.0,2.5,2.0,4.028984,0.269928,1000,unknown,0.7729312628507614,1.167757511138916
615,intercepted,1,22,1,8,22,12.0,18.0,15.0,2.5,2.0,2.159841,1.4731479,1000,unknown,2.2796568125486374,3.0336356163024902
616,soldier_caught,0,14,1,12,-1,12.0,18.0,15.0,2.5,2.0,0.6254435,6.3268423,1000,unknown,1.1452419757843018,1.856926441192627
617,unsafe_intercept,0,16,1,7,-1,12.0,18.0,15.0,2.5,2.0,2.0928266,1.584293,1000,unknown,2.470858371257782,2.8566882610321045
618,intercepted,1,9,1,7,9,12.0,18.0,15.0,2.5,2.0,3.5238104,2.1149049,1000,unknown,1.350793997446696,1.1924936771392822
619,soldier_caught,0,14,1,8,-1,12.0,18.0,15.0,2.5,2.0,1.7640113,3.6740515,1000,unknown,1.9998937078884669,2.108736038208008
620,intercepted,1,13,1,12,13,12.0,18.0,15.0,2.5,2.0,13.960577,2.3958483,1000,unknown,0.6040533483028412,0.8229042887687683
621,intercepted,1,15,1,13,15,12.0,18.0,15.0,2.5,2.0,4.580217,2.3764966,1000,unknown,1.1138409773508708,0.7740776538848877
622,soldier_caught,0,18,1,13,-1,12.0,18.0,15.0,2.5,2.0,1.1352625,2.6283293,1000,unknown,1.7411925146977107,3.5315961837768555
623,intercepted,1,14,1,12,14,12.0,18.0,15.0,2.5,2.0,10.655657,1.4715011,1000,unknown,0.8283908168474833,0.6144406199455261
624,intercepted,1,26,1,15,26,12.0,18.0,15.0,2.5,2.0,2.042217,0.31692538,1000,unknown,2.0490501299500465,1.8587772846221924
625,intercepted,1,9,1,8,9,12.0,18.0,15.0,2.5,2.0,5.2146344,2.3753679,1000,unknown,0.4316326826810837,0.424262136220932
626,soldier_caught,0,18,1,12,-1,12.0,18.0,15.0,2.5,2.0,0.974596,3.568873,1000,unknown,2.003589155418532,3.7745890617370605
627,soldier_caught,0,12,1,8,-1,12.0,18.0,15.0,2.5,2.0,1.7464012,2.749705,1000,unknown,1.6679659575223922,3.6047191619873047
